fleet,protocol,arm,episode_rows,scored_rows,abstention_rate,evaluated_groups,macro_lower_coverage,near_fault_lower_coverage,point_mae_days,median_lower_days,positive_margin_fraction,positive_and_covered_fraction_all_episode_rows,overstated_margin_fraction_all_episode_rows,mean_overstatement_days_when_overstated
development,train_holdout,fleet_pooled,301,182,0.39534883720930236,9,0.7289577666815519,1.0,8.873289868180095,2.4324961016975655,0.6263736263736264,0.2159468438538206,0.16279069767441862,16.12653816753743
development,train_holdout,onboard_pooled,301,189,0.37209302325581395,9,0.8527967312281038,1.0,3.945334695405586,4.1165802850511355,0.6507936507936508,0.33222591362126247,0.07641196013289037,4.1681045881679895
development,train_holdout,onboard_balanced,301,189,0.37209302325581395,9,0.8981626724763979,1.0,3.945334695405586,3.0933426980882537,0.5978835978835979,0.32558139534883723,0.04983388704318937,5.2036325770380545
development,train_holdout,onboard_ratio,301,189,0.37209302325581395,9,0.8613943355119826,0.8253968253968254,3.945334695405586,6.390871471542733,0.9365079365079365,0.5249169435215947,0.06312292358803986,1.2984486172252787
development,new_train_future,fleet_pooled,107,96,0.10280373831775702,6,0.8597232816340368,1.0,7.502641544228813,0.0,0.3229166666666667,0.14953271028037382,0.14018691588785046,21.531530554836056
development,new_train_future,onboard_pooled,107,96,0.10280373831775702,6,0.9583333333333334,1.0,3.4611545476294565,0.0,0.34375,0.2803738317757009,0.028037383177570093,5.23218133692082
development,new_train_future,onboard_balanced,107,96,0.10280373831775702,6,0.9583333333333334,1.0,3.4611545476294565,0.0,0.3541666666666667,0.2897196261682243,0.028037383177570093,5.23218133692082
development,new_train_future,onboard_ratio,107,96,0.10280373831775702,6,0.9444444444444443,1.0,3.4611545476294565,3.278817609268293,0.7291666666666666,0.616822429906542,0.037383177570093455,3.6178685074531236
replication,train_holdout,fleet_pooled,300,182,0.3933333333333333,9,0.7956523329012524,1.0,8.03446677559484,3.1500138703884755,0.6373626373626373,0.26,0.12666666666666668,19.149036125749774
replication,train_holdout,onboard_pooled,300,189,0.37,9,0.8888907050234283,1.0,4.164683725847889,6.114788347031103,0.7037037037037037,0.38,0.06333333333333334,3.166825940060631
replication,train_holdout,onboard_balanced,300,189,0.37,9,0.8888907050234283,1.0,4.164683725847889,6.084231565612553,0.6984126984126984,0.37666666666666665,0.06333333333333334,3.0923742576833693
replication,train_holdout,onboard_ratio,300,189,0.37,9,0.8651603756866915,0.7301587301587301,4.164683725847889,6.9932611084830825,0.9576719576719577,0.5333333333333333,0.07,0.6506944512046834
replication,new_train_future,fleet_pooled,48,48,0.0,3,1.0,1.0,2.890068496001055,0.0,0.375,0.375,0.0,0.0
replication,new_train_future,onboard_pooled,48,48,0.0,3,1.0,1.0,1.6174893632517868,0.0,0.4375,0.4375,0.0,0.0
replication,new_train_future,onboard_balanced,48,48,0.0,3,1.0,1.0,1.6174893632517868,0.0,0.4375,0.4375,0.0,0.0
replication,new_train_future,onboard_ratio,48,48,0.0,3,1.0,1.0,1.6174893632517868,3.6147707577413177,0.8333333333333334,0.8333333333333334,0.0,0.0
